Rank,Title,Previous Rank, Revenues ($M) ,Revenue Change, Profits ($M) ,Profit Change, Assets ($M) , Mkt Value as of 3/29/18 ($M) ,Employees,CEO,CEO Title,Sector,Industry,Years on Fortune 500 List,City,State, Latitude , Longitude 
199,Monsanto,204," $14,640.00 ",8%," $2,260.00 ",69%," $21,333.00 "," $51,444.00 ",21900,Hugh Grant,Chairman &  Chief Executive Officer,Chemicals,Chemicals,15,St. Louis,MO, 38.62700 , (90.19940)
200,Aramark,192," $14,604.00 ",1%, $373.90 ,30%," $11,006.00 "," $9,725.00 ",215000,Eric J. Foss,"Chairman, President &  Chief Executive Officer",Business Services,Diversified Outsourcing Services,24,Philadelphia,PA, 39.95258 , (75.16522)
201,Applied Materials,265," $14,537.00 ",34%," $3,434.00 ",100%," $19,419.00 "," $58,429.00 ",18400,Gary E. Dickerson,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,23,Santa Clara,CA, 37.35411 , (121.95524)
202,Waste Management,201," $14,485.00 ",6%," $1,949.00 ",65%," $21,829.00 "," $36,372.00 ",42300,James C. Fish Jr.,"President, Chief Executive Officer &  Director",Business Services,Waste Management,20,Houston,TX, 29.76043 , (95.36980)
203,DISH Network,186," $14,391.00 ",-5%," $2,098.70 ",45%," $29,774.00 "," $17,682.00 ",17000,W. Erik Carlson,"President, Chief Executive Officer &  Director",Telecommunications,Telecommunications,17,Englewood,CO, 39.64777 , (104.98776)
204,Illinois Tool Works,202," $14,314.00 ",5%," $1,687.00 ",-17%," $16,780.00 "," $53,142.00 ",50000,E. Scott Santi,"Chairman, President &  Chief Executive Officer",Industrials,Industrial Machinery,24,Glenview,IL, 42.06975 , (87.78784)
205,Lincoln National,207," $14,257.00 ",7%," $2,079.00 ",74%," $281,763.00 "," $15,946.00 ",9047,Dennis R. Glass,"President, Chief Executive Officer &  Director",Financials,"Insurance: Life, Health (stock)",24,Wayne,PA, 40.04622 , (75.35991)
206,HollyFrontier,274," $14,251.00 ",35%, $805.40 ,," $10,692.00 "," $8,650.00 ",3522,George J. Damiris,"President, Chief Executive Officer &  Director",Energy,Petroleum Refining,11,Dallas,TX, 32.77666 , (96.79699)
207,CBRE Group,214," $14,210.00 ",9%, $691.50 ,21%," $11,484.00 "," $16,042.00 ",80000,Robert E. Sulentic,"President, Chief Executive Officer &  Director",Financials,Real estate,11,Los Angeles,CA, 34.05223 , (118.24368)
208,Textron,200," $14,198.00 ",3%, $307.00 ,-68%," $15,340.00 "," $15,293.00 ",37000,Scott C. Donnelly,"Chairman, President &  Chief Executive Officer",Aerospace &  Defense,Aerospace and Defense,24,Providence,RI, 41.82399 , (71.41283)
209,Ross Stores,219," $14,135.00 ",10%," $1,362.80 ",22%," $5,722.00 "," $29,800.00 ",82700,Barbara Rentler,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Apparel,16,Dublin,CA, 37.70215 , (121.93579)
210,Principal Financial,227," $14,093.00 ",14%," $2,310.40 ",76%," $253,941.00 "," $17,643.00 ",15378,Daniel J. Houston,"Chairman, President &  Chief Executive Officer",Financials,"Insurance: Life, Health (stock)",24,Des Moines,IA, 41.60054 , (93.60911)
211,D.R. Horton,232," $14,091.00 ",16%," $1,038.40 ",17%," $12,185.00 "," $16,480.00 ",7735,David V. Auld,"President, Chief Executive Officer &  Director",Engineering &  Construction,Homebuilders,16,Arlington,TX, 32.73569 , (97.10807)
212,Marsh & McLennan,210," $14,024.00 ",6%," $1,492.00 ",-16%," $20,429.00 "," $41,924.00 ",64000,Daniel S. Glaser,"President, Chief Executive Officer &  Director",Financials,Diversified Financials,24,New York,NY, 40.71278 , (74.00597)
213,Devon Energy,231," $13,949.00 ",14%, $898.00 ,," $30,241.00 "," $16,725.00 ",3414,David A. Hager,"President, Chief Executive Officer &  Director",Energy,"Mining, Crude-Oil Production",17,Oklahoma City,OK, 35.46756 , (97.51643)
214,AES,194," $13,850.00 ",-3%," $(1,161.00)",," $33,112.00 "," $7,510.00 ",10500,AndrÔøΩs R. Gluski,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,18,Arlington,VA, 38.88162 , (77.09098)
215,Ecolab,211," $13,838.00 ",5%," $1,508.40 ",23%," $19,962.00 "," $39,524.00 ",48400,Douglas M. Baker Jr.,Chairman &  Chief Executive Officer,Chemicals,Chemicals,16,St Paul,MN, 44.95370 , (93.08996)
216,Land O'Lakes,209," $13,740.00 ",4%, $314.20 ,28%," $9,509.00 ",,10000,Christopher J. Policinski,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Food Consumer Products,16,Arden Hills,MN, 45.05024 , (93.15661)
217,Loews,213," $13,735.00 ",5%," $1,164.00 ",78%," $79,586.00 "," $16,134.00 ",18100,James S. Tisch,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Stock),24,New York,NY, 40.71278 , (74.00597)
218,Kinder Morgan,215," $13,705.00 ",5%, $183.00 ,-74%," $79,055.00 "," $33,223.00 ",10897,Steven J. Kean,"President, Chief Executive Officer &  Director",Energy,Pipelines,15,Houston,TX, 29.76043 , (95.36980)
219,FirstEnergy,196," $13,627.00 ",-4%," $(1,724.00)",," $42,257.00 "," $16,175.00 ",15617,Charles E. Jones,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,23,Akron,OH, 41.08144 , (81.51901)
220,Occidental Petroleum,278," $13,274.00 ",28%," $1,311.00 ",," $42,026.00 "," $49,738.00 ",11000,Vicki A. Hollub,"President, Chief Executive Officer &  Director",Energy,"Mining, Crude-Oil Production",24,Houston,TX, 29.76043 , (95.36980)
221,Viacom,224," $13,263.00 ",6%," $1,874.00 ",30%," $23,698.00 "," $12,919.00 ",11200,Robert M. Bakish,"President, Chief Executive Officer &  Director",Media,Entertainment,13,New York,NY, 40.71278 , (74.00597)
222,PayPal Holdings,264," $13,094.00 ",21%," $1,795.00 ",28%," $40,774.00 "," $91,056.00 ",18700,Daniel H. Schulman,"President, Chief Executive Officer &  Director",Business Services,Financial Data Services,3,San Jose,CA, 37.33821 , (121.88633)
223,NGL Energy Partners,237," $13,022.00 ",11%, $137.00 ,," $6,320.00 "," $1,332.00 ",2700,H. Michael Krimbill,Chief Executive Officer &  Director,Energy,Energy,4,Tulsa,OK, 36.15398 , (95.99278)
224,Celgene,254," $13,003.00 ",16%," $2,940.00 ",47%," $30,141.00 "," $67,102.00 ",7467,Mark J. Alles,Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,7,Summit,NJ, 40.71464 , (74.36461)
225,Arconic,228," $12,960.00 ",5%, $(74.00),," $18,718.00 "," $11,124.00 ",41500,Charles P. Blankenship,Chairman &  Chief Executive Officer,Aerospace &  Defense,Aerospace and Defense,24,New York,NY, 40.71278 , (74.00597)
226,Kellogg,216," $12,923.00 ",-1%," $1,269.00 ",83%," $16,350.00 "," $22,532.00 ",32944,Steven A. Cahillane,"Chairman, President &  Chief Executive Officer","Food, Beverages &  Tobacco",Food Consumer Products,24,Battle Creek,MI, 42.32115 , (85.17971)
227,Las Vegas Sands,249," $12,882.00 ",13%," $2,806.00 ",68%," $20,687.00 "," $56,721.00 ",50500,Sheldon G. Adelson,Chairman &  Chief Executive Officer,"Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",9,Las Vegas,NV, 36.16994 , (115.13983)
228,Stanley Black & Decker,250," $12,747.00 ",12%," $1,226.00 ",27%," $19,080.00 "," $23,610.00 ",57765,James M. Loree,"President, Chief Executive Officer &  Director",Household Products,"Home Equipment, Furnishings",11,New Britain,CT, 41.66121 , (72.77954)
229,Booking Holdings,268," $12,681.00 ",18%," $2,340.80 ",10%," $25,451.00 "," $100,459.00 ",22900,Glenn D. Fogel,"President, Chief Executive Officer &  Director",Technology,Internet Services and Retailing,6,Norwalk,CT, 41.11774 , (73.40816)
230,Lennar,260," $12,646.00 ",16%, $810.50 ,-11%," $18,745.00 "," $18,738.00 ",9111,Richard Beckwitt,Chief Executive Officer &  Director,Engineering &  Construction,Homebuilders,14,Miami,FL, 25.76168 , (80.19179)
231,L Brands,220," $12,632.00 ",1%, $983.00 ,-15%," $8,149.00 "," $10,655.00 ",59200,Leslie H. Wexner,"Chairman, President &  Chief Executive Officer",Retailing,Specialty Retailers: Apparel,24,Columbus,OH, 39.96118 , (82.99879)
232,DTE Energy,272," $12,607.00 ",19%," $1,134.00 ",31%," $33,767.00 "," $18,760.00 ",10200,Gerard M. Anderson,Chairman &  Chief Executive Officer,Energy,Utilities: Gas and Electric,24,Detroit,MI, 42.33143 , (83.04575)
233,Dominion Energy,238," $12,586.00 ",7%," $2,999.00 ",41%," $76,585.00 "," $45,344.00 ",16200,Thomas F. Farrell II,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,Richmond,VA, 37.54072 , (77.43605)
234,Reinsurance Group of America,246," $12,516.00 ",9%," $1,822.20 ",160%," $60,515.00 "," $9,930.00 ",2640,Anna Manning,"President, Chief Executive Officer &  Director",Financials,"Insurance: Life, Health (stock)",9,Chesterfield,MO, 38.66311 , (90.57707)
235,J.C. Penney,221," $12,506.00 ",0%, $(116.00),-11700%," $8,413.00 ", $943.00 ,98000,Jeffrey A. Davis/Joseph M. McFarland/Therace M. Risch,Chairman &  Chief Executive Officer,Retailing,General Merchandisers,24,Plano,TX, 33.01984 , (96.69889)
236,Mastercard,267," $12,497.00 ",16%," $3,915.00 ",-4%," $21,329.00 "," $184,161.00 ",13400,Ajay Banga,"President, Chief Executive Officer &  Director",Business Services,Financial Data Services,10,Harrison,NY, 41.04001 , (73.71445)
237,BlackRock,255," $12,491.00 ",12%," $4,970.00 ",57%," $220,217.00 "," $87,065.00 ",13900,Laurence D. Fink,Chairman &  Chief Executive Officer,Financials,Securities,11,New York,NY, 40.71278 , (74.00597)
238,Henry Schein,243," $12,462.00 ",8%, $406.30 ,-20%," $7,811.00 "," $10,330.00 ",22000,Stanley M. Bergman,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Health Care,15,Melville,NY, 40.79343 , (73.41512)
239,Guardian Life Ins. Co. of America,218," $12,455.00 ",-4%, $455.30 ,73%," $75,038.00 ",,9283,Deanna M. Mulligan,"President, Chief Executive Officer &  Director",Financials,"Insurance: Life, Health (Mutual)",24,New York,NY, 40.71278 , (74.00597)
240,Stryker,252," $12,444.00 ",10%," $1,020.00 ",-38%," $22,197.00 "," $60,041.00 ",33000,Kevin A. Lobo,Chairman &  Chief Executive Officer,Health Care,Medical Products and Equipment,16,Kalamazoo,MI, 42.29171 , (85.58723)
241,Jefferies Financial Group,262," $12,408.00 ",14%, $171.70 ,32%," $47,169.00 "," $8,098.00 ",12700,Richard B. Handler,Chairman &  Chief Executive Officer,Financials,Diversified Financials,6,New York,NY, 40.71278 , (74.00597)
242,VF,230," $12,400.00 ",2%, $614.90 ,-43%," $9,959.00 "," $29,403.00 ",69000,Steven E. Rendle,"Chairman, President &  Chief Executive Officer",Apparel,Apparel,24,Greensboro,NC, 36.07264 , (79.79198)
243,ADP,240," $12,380.00 ",6%," $1,733.40 ",16%," $37,180.00 "," $50,302.00 ",58000,Carlos A. Rodriguez,"President, Chief Executive Officer &  Director",Business Services,Diversified Outsourcing Services,24,Roseland,NJ, 40.82066 , (74.29376)
244,Edison International,235," $12,320.00 ",4%, $565.00 ,-57%," $52,580.00 "," $20,741.00 ",12521,Pedro J. Pizarro,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,24,Rosemead,CA, 34.08057 , (118.07285)
245,Biogen,248," $12,274.00 ",7%," $2,539.10 ",-31%," $23,653.00 "," $57,930.00 ",7300,Michel Vounatsos,Chairman &  Chief Executive Officer,Health Care,Pharmaceuticals,9,Cambridge,MA, 42.37362 , (71.10973)
246,United States Steel,279," $12,250.00 ",19%, $387.00 ,," $9,862.00 "," $6,200.00 ",29200,David B. Burritt,"President, Chief Executive Officer &  Director",Materials,Metals,16,Pittsburgh,PA, 40.44062 , (79.99589)
247,Core-Mark Holding,247," $12,225.00 ",6%, $33.50 ,-38%," $1,783.00 ", $981.00 ,8413,Thomas B. Perkins,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Food and Grocery,9,South San Francisco,CA, 37.65466 , (122.40775)
248,Bed Bath & Beyond,233," $12,216.00 ",1%, $685.10 ,-19%," $6,846.00 "," $2,989.00 ",65000,Steven H. Temares,Chief Executive Officer &  Director,Retailing,Specialty Retailers: Other,15,Union,NJ, 40.69759 , (74.26316)
249,Oneok,312," $12,174.00 ",37%, $387.80 ,10%," $16,846.00 "," $23,373.00 ",2470,Terry K. Spencer,"President, Chief Executive Officer &  Director",Energy,Pipelines,16,Tulsa,OK, 36.15398 , (95.99278)
250,BB& T Corp.,245," $12,156.00 ",5%," $2,394.00 ",-1%," $221,642.00 "," $40,454.00 ",36484,Kelly S. King,Chairman &  Chief Executive Officer,Financials,Commercial Banks,20,Winston-Salem,NC, 36.09986 , (80.24422)
251,Becton Dickinson,225," $12,093.00 ",-3%," $1,100.00 ",13%," $37,734.00 "," $57,695.00 ",41933,Vincent A. Forlenza,Chairman &  Chief Executive Officer,Health Care,Medical Products and Equipment,24,Franklin Lakes,NJ, 41.01676 , (74.20570)
252,Ameriprise Financial,239," $12,075.00 ",3%," $1,480.00 ",13%," $147,470.00 "," $21,613.00 ",13312,James M. Cracchiolo,Chairman &  Chief Executive Officer,Financials,Diversified Financials,12,Minneapolis,MN, 44.97775 , (93.26501)
253,Farmers Insurance Exchange,222," $12,072.00 ",-4%, $(65.40),," $16,165.00 ",,13015,Jeffrey J. Dailey,"President, Chief Executive Officer &  Director",Financials,Insurance: Property and Casualty (Mutual),4,Los Angeles,CA, 34.16536 , (118.60898)
254,First Data,242," $12,052.00 ",4%," $1,465.00 ",249%," $48,269.00 "," $14,865.00 ",22000,Frank J. Bisignano,Chairman &  Chief Executive Officer,Business Services,Financial Data Services,24,New York,NY, 40.71278 , (74.00597)
255,Consolidated Edison,234," $12,033.00 ",0%," $1,525.00 ",23%," $48,111.00 "," $24,192.00 ",15591,John McAvoy,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,24,New York,NY, 40.71278 , (74.00597)
256,Parker-Hannifin,251," $12,029.00 ",6%, $983.40 ,22%," $15,490.00 "," $22,755.00 ",56690,Thomas L. Williams,Chairman &  Chief Executive Officer,Industrials,Industrial Machinery,24,Cleveland,OH, 41.49932 , (81.69436)
257,Anadarko Petroleum,344," $11,908.00 ",51%, $(456.00),," $42,086.00 "," $31,131.00 ",4400,R. A. Walker,"Chairman, President &  Chief Executive Officer",Energy,"Mining, Crude-Oil Production",18,The Woodlands,TX, 30.16582 , (95.46126)
258,Estee Lauder,253," $11,824.00 ",5%," $1,249.00 ",12%," $11,568.00 "," $55,064.00 ",46000,Fabrizio Freda,"President, Chief Executive Officer &  Director",Household Products,Household and Personal Products,23,New York,NY, 40.71278 , (74.00597)
259,State Street Corp.,271," $11,774.00 ",11%," $2,177.00 ",2%," $238,425.00 "," $36,688.00 ",36643,Joseph L. Hooley,Chairman &  Chief Executive Officer,Financials,Commercial Banks,23,Boston,MA, 42.36008 , (71.05888)
260,Tesla,383," $11,759.00 ",68%," $(1,961.40)",," $28,655.00 "," $44,955.00 ",37543,Elon Musk,Chairman &  Chief Executive Officer,Motor Vehicles &  Parts,Motor Vehicles and Parts,2,Palo Alto,CA, 37.44188 , (122.14302)
261,Netflix,314," $11,693.00 ",32%, $558.90 ,199%," $19,013.00 "," $128,167.00 ",5100,Reed Hastings,"Chairman, President &  Chief Executive Officer",Technology,Internet Services and Retailing,4,Los Gatos,CA, 37.23581 , (121.96238)
262,Alcoa,300," $11,652.00 ",25%, $217.00 ,," $17,447.00 "," $8,372.00 ",14600,Roy C. Harvey,"President, Chief Executive Officer &  Director",Materials,Metals,2,Pittsburgh,PA, 40.44062 , (79.99589)
263,Discover Financial Services,277," $11,545.00 ",10%," $2,099.00 ",-12%," $100,087.00 "," $25,431.00 ",16500,David W. Nelms,Chairman &  Chief Executive Officer,Financials,Commercial Banks,10,Riverwoods,IL, 42.16753 , (87.89701)
264,Praxair,275," $11,437.00 ",9%," $1,247.00 ",-17%," $20,436.00 "," $41,434.00 ",26461,Stephen F. Angel,Chairman &  Chief Executive Officer,Chemicals,Chemicals,24,Danbury,CT, 41.39482 , (73.45401)
265,CSX,257," $11,408.00 ",3%," $5,471.00 ",219%," $35,739.00 "," $49,428.00 ",24006,James M. Foote,"President, Chief Executive Officer &  Director",Transportation,Railroads,24,Jacksonville,FL, 30.33218 , (81.65565)
266,Xcel Energy,256," $11,404.00 ",3%," $1,148.00 ",2%," $43,030.00 "," $23,107.00 ",11105,Benjamin G.S. Fowke III,"Chairman, President &  Chief Executive Officer",Energy,Utilities: Gas and Electric,22,Minneapolis,MN, 44.97775 , (93.26501)
267,Unum Group,258," $11,287.00 ",2%, $994.20 ,7%," $64,013.00 "," $10,530.00 ",9400,Richard P. McKenney,"President, Chief Executive Officer &  Director",Financials,"Insurance: Life, Health (stock)",23,Chattanooga,TN, 35.04563 , (85.30968)
268,Universal Health Services,276," $11,279.00 ",7%, $752.30 ,7%," $10,762.00 "," $11,163.00 ",72300,Alan B. Miller,Chairman &  Chief Executive Officer,Health Care,Health Care: Medical Facilities,15,King of Prussia,PA, 40.10129 , (75.38355)
269,NRG Energy,229," $11,275.00 ",-9%," $(2,153.00)",," $23,318.00 "," $9,698.00 ",5940,Mauricio Gutierrez,"President, Chief Executive Officer &  Director",Energy,Energy,12,Princeton,NJ, 40.35730 , (74.66722)
270,EOG Resources,356," $11,208.00 ",47%," $2,582.60 ",," $29,833.00 "," $60,913.00 ",2664,William R. Thomas,Chairman &  Chief Executive Officer,Energy,"Mining, Crude-Oil Production",10,Houston,TX, 29.76043 , (95.36980)
271,Sempra Energy,280," $11,207.00 ",10%, $256.00 ,-81%," $50,454.00 "," $29,351.00 ",16046,J. Walker Martin,Chairman &  Chief Executive Officer,Energy,Utilities: Gas and Electric,20,San Diego,CA, 32.71574 , (117.16108)
272,Toys 'R'ù Us,244," $11,146.00 ",-3%, $(612.00),," $7,262.00 ",,65000,David A. Brandon,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,24,Wayne,NJ, 40.92537 , (74.27654)
273,Group 1 Automotive,261," $11,124.00 ",2%, $213.40 ,45%," $4,871.00 "," $1,366.00 ",14108,Earl J. Hesterberg,"President, Chief Executive Officer &  Director",Retailing,"Automotive Retailing, Services",18,Houston,TX, 29.76043 , (95.36980)
274,Entergy,263," $11,075.00 ",2%, $411.60 ,," $46,707.00 "," $14,298.00 ",13504,Leo P. Denault,Chairman &  Chief Executive Officer,Energy,Utilities: Gas and Electric,24,New Orleans,LA, 29.95107 , (90.07153)
275,Molson Coors Brewing,522," $11,003.00 ",125%," $1,414.20 ",-28%," $30,247.00 "," $16,238.00 ",17200,Mark R. Hunter,"President, Chief Executive Officer &  Director","Food, Beverages &  Tobacco",Beverages,8,Denver,CO, 39.73924 , (104.99025)
276,L3 Technologies,273," $11,002.00 ",4%, $677.00 ,-5%," $12,729.00 "," $16,283.00 ",38000,Christopher E. Kubasik,"President, Chief Executive Officer &  Director",Aerospace &  Defense,Aerospace and Defense,16,New York,NY, 40.71278 , (74.00597)
277,Ball,306," $10,983.00 ",21%, $374.00 ,42%," $17,169.00 "," $13,920.00 ",18300,John A. Hayes,"Chairman, President &  Chief Executive Officer",Materials,"Packaging, Containers",22,Broomfield,CO, 39.92054 , (105.08665)
278,AutoZone,270," $10,889.00 ",2%," $1,280.90 ",3%," $9,260.00 "," $17,450.00 ",70035,William C. Rhodes III,"Chairman, President &  Chief Executive Officer",Retailing,Specialty Retailers: Other,20,Memphis,TN, 35.14953 , (90.04898)
279,Murphy USA,291," $10,853.00 ",13%, $245.30 ,11%," $2,331.00 "," $2,440.00 ",6900,R. Andrew Clyde,"President, Chief Executive Officer &  Director",Retailing,Specialty Retailers: Other,5,El Dorado,AR, 33.20763 , (92.66627)
280,MGM Resorts International,297," $10,774.00 ",14%," $1,960.30 ",78%," $29,159.00 "," $19,844.00 ",68500,James J. Murren,Chairman &  Chief Executive Officer,"Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",18,Las Vegas,NV, 36.16994 , (115.13983)
281,Office Depot,203," $10,752.00 ",-21%, $181.00 ,-66%," $6,323.00 "," $1,195.00 ",45000,Gerry P. Smith,Chairman &  Chief Executive Officer,Retailing,Specialty Retailers: Other,24,Boca Raton,FL, 26.36831 , (80.12893)
282,Huntsman,289," $10,592.00 ",10%, $636.00 ,95%," $10,244.00 "," $7,090.00 ",10000,Peter R. Huntsman,"Chairman, President &  Chief Executive Officer",Chemicals,Chemicals,13,The Woodlands,TX, 30.16582 , (95.46126)
283,Baxter International,281," $10,561.00 ",4%, $717.00 ,-86%," $17,111.00 "," $34,979.00 ",47000,JosÔøΩ E. Almeida,"Chairman, President &  Chief Executive Officer",Health Care,Medical Products and Equipment,24,Deerfield,IL, 42.17114 , (87.84451)
284,Norfolk Southern,284," $10,551.00 ",7%," $5,404.00 ",224%," $35,711.00 "," $41,226.00 ",27110,James A. Squires,"Chairman, President &  Chief Executive Officer",Transportation,Railroads,24,Norfolk,VA, 36.85077 , (76.28587)
285,salesforce.com,326," $10,480.00 ",25%, $127.50 ,-29%," $21,010.00 "," $85,074.00 ",29000,Marc R. Benioff,Chairman &  Chief Executive Officer,Technology,Computer Software,4,SF,CA, 37.77493 , (122.41942)
286,Laboratory Corp. of America,290," $10,441.00 ",8%," $1,268.20 ",73%," $16,568.00 "," $16,482.00 ",60000,David P. King,"Chairman, President &  Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,9,Burlington,NC, 36.09569 , (79.43780)
287,W.W. Grainger,282," $10,425.00 ",3%, $585.70 ,-3%," $5,804.00 "," $15,823.00 ",25050,Donald G. MacPherson,Chairman &  Chief Executive Officer,Wholesalers,Wholesalers: Diversified,24,Lake Forest,IL, 42.25863 , (87.84063)
288,Qurate Retail,269," $10,404.00 ",-2%," $2,441.00 ",98%," $24,122.00 "," $12,587.00 ",28255,Gregory B. Maffei,Chairman,Retailing,Internet Services and Retailing,14,Englewood,CO, 39.64777 , (104.98776)
289,Autoliv,283," $10,383.00 ",3%, $427.10 ,-25%," $8,550.00 "," $12,710.00 ",67352,Jan Carlson,"Chairman, President &  Chief Executive Officer",Motor Vehicles &  Parts,Motor Vehicles and Parts,20,Auburn Hills,MI, 42.68753 , (83.23410)
290,Live Nation Entertainment,330," $10,337.00 ",24%, $(6.00),-305%," $7,504.00 "," $8,772.00 ",15050,Michael Rapino,"President, Chief Executive Officer &  Director",Media,Entertainment,9,Beverly Hills,CA, 34.07362 , (118.40036)
291,Xerox,162," $10,265.00 ",-40%, $195.00 ,," $15,946.00 "," $7,330.00 ",36100,John Visentin,Chairman &  Chief Executive Officer,Technology,"Computers, Office Equipment",24,Norwalk,CT, 41.11774 , (73.40816)
292,Leidos Holdings,381," $10,170.00 ",44%, $366.00 ,50%," $8,990.00 "," $9,918.00 ",31000,Roger A. Krone,Chairman &  Chief Executive Officer,Technology,Information Technology Services,18,Reston,VA, 38.95863 , (77.35700)
293,Corning,298," $10,116.00 ",8%, $(497.00),-114%," $27,494.00 "," $23,677.00 ",46200,Wendell P. Weeks,"Chairman, President &  Chief Executive Officer",Industrials,"Electronics, Electrical Equip.",23,Corning,NY, 42.14285 , (77.05469)
294,Lithia Motors,318," $10,087.00 ",16%, $245.20 ,24%," $4,683.00 "," $2,515.00 ",12899,Bryan B. DeBoer,"President, Chief Executive Officer &  Director",Retailing,"Automotive Retailing, Services",4,Medford,OR, 42.32652 , (122.87559)
295,Expedia Group,317," $10,060.00 ",15%, $378.00 ,34%," $18,516.00 "," $16,764.00 ",22615,Mark D. Okerstrom,"President, Chief Executive Officer &  Director",Retailing,Internet Services and Retailing,4,Bellevue,WA, 47.61015 , (122.20152)
296,Republic Services,299," $10,042.00 ",7%," $1,278.40 ",109%," $21,147.00 "," $21,832.00 ",35000,Donald W. Slager,"President, Chief Executive Officer &  Director",Business Services,Waste Management,9,Phoenix,AZ, 33.44838 , (112.07404)
297,Jacobs Engineering Group,259," $10,023.00 ",-9%, $293.70 ,40%," $7,381.00 "," $8,380.00 ",49750,Steven J. Demetriou,"Chairman, President &  Chief Executive Officer",Engineering &  Construction,"Engineering, Construction",18,Dallas,TX, 32.77666 , (96.79699)
298,Sonic Automotive,287," $9,867.00 ",1%, $93.00 ,0%," $3,819.00 ", $804.00 ,9750,B. Scott Smith,"President, Chief Executive Officer &  Director",Retailing,"Automotive Retailing, Services",19,Charlotte,NC, 35.22709 , (80.84313)
299,Ally Financial,286," $9,866.00 ",0%, $929.00 ,-13%," $167,148.00 "," $11,767.00 ",7900,Jeffrey J. Brown,Chairman &  Chief Executive Officer,Financials,Diversified Financials,11,Detroit,MI, 42.33143 , (83.04575)
300,LKQ,304," $9,848.00 ",8%, $533.70 ,15%," $9,367.00 "," $11,750.00 ",43000,Dominick P. Zarcone,"President, Chief Executive Officer &  Director",Wholesalers,Wholesalers: Diversified,5,Chicago,IL, 41.87811 , (87.62980)
301,BorgWarner,305," $9,799.00 ",8%, $439.90 ,271%," $9,788.00 "," $10,586.00 ",29000,James R. Verrier,"President, Chief Executive Officer &  Director",Motor Vehicles &  Parts,Motor Vehicles and Parts,12,Auburn Hills,MI, 42.68753 , (83.23410)
302,Fidelity National Financial,293," $9,769.00 ",2%, $771.00 ,19%," $9,151.00 "," $10,983.00 ",24525,Raymond R. Quirk,Chairman &  Chief Executive Officer,Financials,Insurance: Property and Casualty (Stock),11,Jacksonville,FL, 30.33218 , (81.65565)
303,SunTrust Banks,303," $9,741.00 ",6%," $2,273.00 ",21%," $205,962.00 "," $31,863.00 ",23785,William H. Rogers Jr.,Chairman &  Chief Executive Officer,Financials,Commercial Banks,24,Atlanta,GA, 33.74900 , (84.38798)
304,IQVIA Holdings,390," $9,739.00 ",42%," $1,309.00 ",1038%," $22,742.00 "," $20,433.00 ",55000,Ari Bousbib,"Chairman, President &  Chief Executive Officer",Health Care,Health Care: Pharmacy and Other Services,5,Durham,NC, 35.98051 , (78.90511)
305,Reliance Steel & Aluminum,320," $9,721.00 ",13%, $613.40 ,102%," $7,751.00 "," $6,244.00 ",14900,Gregg J. Mollins,"President, Chief Executive Officer &  Director",Materials,Metals,12,Los Angeles,CA, 34.05223 , (118.24368)
306,Nvidia,387," $9,714.00 ",41%," $3,047.00 ",83%," $11,241.00 "," $140,112.00 ",11528,Jen-Hsun Huang,"President, Chief Executive Officer &  Director",Technology,Semiconductors and Other Electronic Components,2,Santa Clara,CA, 37.35411 , (121.95524)
307,Voya Financial,266," $9,660.00 ",-10%," $(2,992.00)",," $222,532.00 "," $8,686.00 ",6300,Rodney O. Martin Jr.,Chairman &  Chief Executive Officer,Financials,Diversified Financials,4,New York,NY, 40.71278 , (74.00597)
308,CenterPoint Energy,362," $9,614.00 ",28%," $1,792.00 ",315%," $22,736.00 "," $11,822.00 ",7977,Scott M. Prochazka,"President, Chief Executive Officer &  Director",Energy,Utilities: Gas and Electric,24,Houston,TX, 29.76043 , (95.36980)
309,eBay,310," $9,567.00 ",7%," $(1,016.00)",-114%," $25,981.00 "," $40,726.00 ",14100,Devin N. Wenig,"President, Chief Executive Officer &  Director",Technology,Internet Services and Retailing,13,San Jose,CA, 37.33821 , (121.88633)
310,Eastman Chemical,309," $9,549.00 ",6%," $1,384.00 ",62%," $15,999.00 "," $15,073.00 ",14000,Mark J. Costa,Chairman &  Chief Executive Officer,Chemicals,Chemicals,24,Kingsport,TN, 36.54843 , (82.56182)
